מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2017 - מועד ב',מהי דוגמא לאנרגיה פוטנציאלית ללא אנרגיה קינטית?,צב זוחל בחיפוש אחרי מזון,מים נופלים במורד מפל,"פליטת אור ע""י גחליליות",עמילן,,,4,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',טיי סאקס היא מחלה בה נאגרים ליפידים בתאים; מה שגורם למחלות רבות ולבסוף למוות; איזו אורגנלה כנראה לא עובדת כראוי אצל החולים?,ER,גרעין,מיטוכונדירה,גולג'י,ליזוזום,,5,כימיה של החיים,FALSE,,
שחזורים 2017 - מועד ב',מה ההבדל בין צמחי C3 לצמחי C4?,בצמחי 3C נקודת הקומפנסציה גבוהה יותר.,בצמחי C4 נקודת הקומפנסציה גבוהה יותר.,בצמחי 4C קליטת הפחמן הדו חמצני מתחילה בריכוזים גבוהים יותר.,צמחי 3C עובדים טוב יותר בעוצמות גבוהות יותר של אור.,תשובות א+ג.,,1,ביולוגיה של התא,TRUE,,
שחזורים 2017 - מועד ב',מוטציה מסוימת פוגע בפולימריזציה של אקטין; אילו מהפעולות הבאות תימשך כרגיל?,ציטוקינזה,תנועת תא (כמו רדיפת נויטרופיל אחרי פתוגן),מעבר וזיקולה מהER לגולג'י,התכווצות שריר,,,3,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מה מהבאים קורה בריאקציה הבאה: C6H12O6 + O2 → H2O + CO2 + Energy,O2 מתחמצן; CO2 מתחזר,C6H12O6 מתחמצן; CO2 מתחזר,C6H12O6 מתחמצן; O2 מתחזר,H2O מתחזר; 2O מתחזר,,,3,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מה המשפט הנכון לגבי הקשר בין נשימה תאית לפוטוסינתזה?,בנשימה תאית מתרחש אותו תהליך ביוכימי כמו בפוטוסינתזה רק הפוך,פוטוסינתזה מתרחשת רק באיו-קריוטיים; בזמן שנשימה תאית מתרחשת באיו-קריוטיים ובפרוקריוטיים.,נשימה תאית מתרחשת רק אצל בעלי חיים; ופוטוסינתזה מתרחשת רק אצל צמחים.,פוטוסינתזה אוצרת אנרגיה במולקולה אורגנית ונשימה תאית משחררת אנרגיה האצורה במולקולה אורגנית,,,4,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',על מה מבוסס מעגל קלווין?,שימוש בNADPH לשחרור 2CO,הפיכת 2CO לסוכר פשוט,פליטה של 2O,קליטת קרני אור מהשמש,,,2,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',תא אשר עשיר בריבוזומים יהיה כנראה אחראי על הפקת כמות גדולה של:,חלבונים,ליפידים,סוכרים,חומצות גרעין,,,1,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מה מהבאים קיים בתאים פרוקריוטיים:,ממברנת גרעין,מיטוכונדריה,ER,ריבוזומים,,,4,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',איזה מיקרוסקופ יהיה הטוב ביותר כדי לבחון תנועה של תא?,מיקרוסקופ אור,SEM,TEM,כולם טובים באותה מידה,תשובות ב+ג,,1,ביולוגיה של התא,TRUE,,
שחזורים 2017 - מועד ב',מה מהבאים יגביר את פעילותו של PKA-cAMP?,מוטציה שמפחיתה ייצור של Phosphodiestase,"מוטציה שמגבירה הידרוליזה של GTP ע""י GPCR",מוטציה שמפחיתה כמות של Adenilyl Ciclase בתא,מוטציה שמפחיתה ייצור של ATP,,,1,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מה לא מאפיין הורמונים כגון Aldosterone ו-Testosterone?,הידרופיליים,מסוגלים להשפיע על ביטוי דנא,יכולים לחדור את ממברנת התא,נקשרים לחלבון,,,1,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מהו המצב האידיאלי מבחינת Tonicity של הסביבה עבור תא אנימלי (A) ועבור תא צמחי (P)?,P- Isotonic: A- Isotonic,P- Hypertonic: A- Isotonic,P- Hypotonic: A- Isotonic,P- Hypotonic: A- Hypertonic,,,3,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מה נכון לגבי תא אפופטוטי?,מגביר פעילות Caspase.,מתפרק כדי לשפוך את תוכנו החוצה.,קיים רק אצל אנשים חולים.,שומרים על צורת הדנא לאורך כל התהליך.,,,1,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',"בתא מסוים קיימת משאבת H+ כדי לבצע כניסה של סוכרוז ע""י H+-Sucrose CoTransporter; מה יקרה עקב ירידה בכמות הATP באותו תא?",ירידה בpH בתא,הצטברות פרוטונים מחוץ לתא,עליה בכניסת הסוכרוז,לא יקרה כלום; כניסת הסוכרוז היא תהליך פסיבי,,,1,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מה לא מאפיין את שלב הProphase במיטוזה?,דחיסת כרומוזומים,היעדר ממברנת הגרעין,סידור המיקרוטובולין במבנה Aster,תא עם תוכן של 4n,היעדר חיבור מיקרוטובולין לכרומוזומים,,2,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מה קורה באנאפזה?,מעבר חומר ציטוזולי לתא הבת,אי דחיסת הכרומוזומים,שבירת Cohesins,שכפול הדנא,,,3,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מתי יתרחש קרוסינג אובר בתא דיפלואידי?,ב Prophase II של המיוזה בין כרומטידות אחיות.,בProphase II של המיוזה בין כרומטידות לא אחיות של כרומוזומים הומולוגיים.,בProphase I של המיוזה בין כרומטידות לא אחיות של כרומוזומים הומולוגיים.,בMetaphase I של המיוזה בין כרומטידות לא אחיות של כרומוזומים הומולוגיים.,,,3,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',חוקרת בחנה את כמות הCDK והCyclin בתא; בהשוואה לכמות הדנא; מה סביר להניח שגילתה?,עלייה בכמות הCDK בתא ברגעים בהם כמות הדנא שווה ל4n.,עלייה בכמות הCyclin בתא ברגעים בהם כמות הדנא שווה ל4n.,עלייה בכמות הCDK בתא ברגעים בהם כמות הדנא שווה ל2n.,עלייה בכמות הCyclin בתא ברגעים בהם כמות הדנא שווה ל2n.,לא צפוי להיות שינוי באף אחד מהם בשום שלב.,,2,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',חוקרת שתלה תאים על פני מצע גידול. מה מהבאים יפסיק את התרבותם?,צפיפות,שחרור של Growth Factor,הורמון שיגרום לחיזוק אחיזתם במצע.,,,,1,ביולוגיה של התא,FALSE,,
שחזורים 2017 - מועד ב',מה היתה הסיבה שמנדל המשיך לצפות באפונים מעבר לדור 1F; גם לדור 2F?,על מנת לראות אם יציגו תכונה דומיננטית.,על מנת לראות אם יציגו תכונה רצסיבית.,על מנת לצבור עוצמה סטטיסטית גבוהה יותר.,,,,2,גנטיקה,FALSE,,
שחזורים 2017 - מועד ב',מה זה זן בר (Wild Type)?,הזן האלגנטי ביותר אשר מהווה מוסכמה מקובלת בעולם צרכני ואידיאלי.,הזן הנפוץ באוכלוסיה.,זן פגום בעל מוטנט.,זן נדיר ביותר.,,,2,גנטיקה,FALSE,,
שחזורים 2017 - מועד ב',בין גנים A וC הממוקמים על אותו כרומוזום יש את האחוז הגבוה ביותר של רקומבינציה. מה זה אומר לגביהם?,ל-A יש דחייה מגן B; ולכן הוא לא עושה איתו קומבינציה.,גן A נמצא בין B ל-C.,סדר הגנים הוא A-B-C.,A ו-C נמצאים על אותו תאחיזה.,,,3,גנטיקה,FALSE,,
שחזורים 2017 - מועד ב',לאדם יש שני סוגי גנים בתא אחיזה שונה: AaGg. מה ניתן למצוא בגמטה שלו?,AaGg,Aa,AG,AaG,,,3,גנטיקה,FALSE,,
שחזורים 2017 - מועד ב',על מה התבססו הרשי וצ'ייס כדי לבדוק את השערתם בנוגע לחומר המורש?,כמות החנקן בדנא גדולה יותר מאשר בחלבון.,בדנא יש אחוז גופרית גבוה.,הדנא פירמידיני והחלבון פוריני.,כמות הפוספט בדנא.,,,4,גנטיקה,FALSE,,
שחזורים 2017 - מועד ב',מה המשפט הלא נכון לגבי קודון AUG?,הוא מהווה Start Codon,הוא מקודד למתיונין,ניתן למצוא אותו ביותר ממקום אחד בmRNA,הוא מהווה Stop Codon,,,4,גנטיקה,FALSE,,
שחזורים 2017 - מועד ב',באיזו מולקולה קיים אנטי קודון?,tRNA,mRNA,DNA,ריבוזום,,,1,גנטיקה,FALSE,,
שחזורים 2017 - מועד ב',מה הכוונה באמירה שהדנא הוא חוזרני (Redundant)?,אותו קודון יכול לקודד לכמה חומצות אמיניות.,יש קודונים מיותרים.,חומצה אמינית יכולה להיות מקודדת מיותר מקודון אחד.,ישנן חומצות אמיניות לא יעילות שהדנא מורה על קידודן.,,,3,גנטיקה,FALSE,,
שחזורים 2018 - מועד א',איך יודעים שהמקור של כל הצאצאים הוא מאב קדום משותף?,מבנה כלורופלסטים,מבנה גרעין,ריסים,לכולם יש DNA שמורכב מאותו קוד גנטי,,,4,כללי,FALSE,,
שחזורים 2018 - מועד א',מה מאפיין כל היפותזה מדעית טובה,ניתן לבחון אותה,ניתן להפריכה,ניתן לענות עליה תשובה מספרית,ניסוי הבוחן אותה מוביל בהכרח לתוצאות שניתן לחזור עליהן,,,,כללי,FALSE,,הכל נראה נכון חוץ מ3 :(
שחזורים 2018 - מועד א',אילו יסודות מרכיבים 96% מהיצורים החיים,נתרן חנקן פחמן ומימן,פחמן מימן חמצן וחנקן,,,,,2,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',מהם הקשרים החשובים ביותר לתכונות הייחודיות של המים,קשרי מימן,קשרי ואן דר ואלס,קשרים יונים,קשרי פחמן,,,1,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',התהליך אשר מתקיים בין שתי חומצות אמינו ליצירת קשר פפטידי הוא:,הידרוליזה לצורך יצירת קשר קוולנטי,הידרוליזה לצורך יצירת קשר יוני,הידרוליזה לצורך ישירת קשר אסטרי,דהידרציה לצורך יצירת קשר קוולנטי,,,4,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',מה היא קוהזיה?,אינטרקציה בין מולקולות דומות שהקשר ביניהן לא קוולנטי.,איטרקציה בין מולקולות דומות שהקשר ביניהן הוא קוולנטי.,אינטרקציה בין מולקוחות שונות שהקשר ביניהן לא קוונלטי.,אינטרקציה בין מולקולות שונות שהקשר ביניהן קוולנטי.,,,1,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',מולקולת מים יכול ליצור,עד 4 קשרי מימן עם מולקולות מים אחרות,עד 3 קשרי מימן עם מולקולות מים אחרות,עד 4 קשרים קוולנטים עם מולקולות מים אחרות,עד 3 קשרים קוולנטים עם מולקולות מים אחרות,,,1,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',מולקולות מים הן:,בעלות חום סגולי גבוה ולכן בטמפרטורות נמוכות יחסית תיהיה עליה גדולה בטמפרטורה,בעלות חום סגולי גבוה ולכן בטמפרטורות נמוכות יחסית תיהיה עליה קטנה בטמפרטורה,בעלות חום סגולי נמוך ולכן בטמפרטורות גבוהות יחסית תיהיה עליה גדולה בטמפרטורה,בעלות חום סגולי נמוך ולכן בטמפרטורות גבוהות יחסית תיהיה עליה נמוכה בטמפרטורה,,,2,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',מה מהווה 50% מהתא החי היבש?,חלבונים,פחמימות,שומנים,חומצות גרעין,,,1,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',גליקוגן הוא פולימר של:,חומצות אמינו,חומצות שומן,חומצות גופרית,סוכרים,,,4,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',מה מייצג אנרגיה פוטנציאלית ולא אנרגיה קינטית?,צב זוחל,אנזים הקסוקינאז,מפל מים,אור של גחלילית,,,2,כימיה של החיים,FALSE,,
שחזורים 2018 - מועד א',מה ניתן לומר על צמחי C3 לעומת צמחי C4?,נק' הקומפנסציה שלהן שווה,נק' הקומפנסציה של C3 גבוהה מ-C4,נק' הקומפנסציה של C4 גבוהה מ-C3,צמחי C4 יתחילו לקבע CO2 בריכוזים יותר גבוהים של CO2,צמחי C3 צורכים יותר אנרגיה לקיבוע ה-CO2 מאשר צמחי C4 כי אין להם אנזים PEP,תשובות ב'+ד',2,כימיה של החיים,TRUE,,
שחזורים 2018 - מועד א',מהי הטכניקה הרצויה לצפייה בכרומוזמים בתנועה?,מיקרוסקופ אור,מיקרוסקופ אלקטרוני SEM,מיקרוסקופ אלקטרוני TEM,א-ג נכונים,אף תשוב לא נכונה,,1,ביולוגיה של התא,FALSE,,
שחזורים 2018 - מועד א',מה נמצא בתאים פרוקריוטים?,ריבוזומים,כלורופלסט,מיטוכונדירה,ER,כלורופלסט רק בתאים ציאובקטריים שמבצעים פוטוסינטזה,,1,ביולוגיה של התא,FALSE,,
שחזורים 2018 - מועד א',תא שיש בו הרבה ריבוזומים מתמחה בייצור:,חלבונים,סוכרים,ליפידים,חומצות גרעין,,,1,ביולוגיה של התא,FALSE,,
שחזורים 2018 - מועד א',Cytochalasin Dהוא אנזים שפוגע ביצור סיבי אקטין. מה מהבאים עדיין יוכל להתרחש אם מישהו יטופל בתרופה זו?,ציטוקינזה,רדיפת נויטרופיל אחרי חיידק,מעבר של וזיקולה מה- ER לגולג'י,תנועת כיווץ שרירים.,,,,ביולוגיה של התא,FALSE,,מה זה בכלל
שחזורים 2018 - מועד א',מה מגביל את גודל התא,מספר החלבונים בממברנת התא,יחס גודל המיטוכונדריה- לגודל התא,יחס שטח פנים לנפח,כמות הקשרים בין הציטוסקלטון לממבראנה,,,3,ביולוגיה של התא,FALSE,,
שחזורים 2018 - מועד א',מה נבדק בM CHECKPOINT במיטוזה?,המצאות סיגנאל מ growth factor,כמות נוטריינטים,שלמות הDNA המשוכפל,דיוק הDNA המשוכפל,חיבור הכרומטידות האחיות אל ה kinetochore microtubules,,5,ביולוגיה של התא,FALSE,,
שחזורים 2018 - מועד א',מה יתרום לפלואידיות של הממבראנה של תא אם יועבר לסביבה בה הטמפ' נמוכה?,הפחתת קשרים כפולים בחומצות שומן שמרכיבות את הממבראנה,הגדלת ריכוז הכולסטרול בממבראנה,הוספת קבוצות טעונות לראשים של הפוספוליפידים,הגדלת אורך חומצות השומן-שיהיו יותר ארוכות,,,,ביולוגיה של התא,FALSE,,
שחזורים 2018 - מועד א',למה בניסיו של מנדל דור הF1 תמיד הציג את אחד משני הפנוטיפים שהראה אחד מההורים ?,הגנים לא עברו אינטראקציה,לכל אחד מהאללים היתה השפעה פנוטיפית,אלל אחד היה דומיננטי,הגנים התערבבו בזמן ההפריה,,,3,גנטיקה,FALSE,,
שחזורים 2018 - מועד א',איזה תהליך קורה בפרוקריוטים ולא באוקריוטים,טלפורטציה,שחבור,צמוד בין שעתוק לתרגום,,,,,גנטיקה,FALSE,,לא מצאתי בסיכום של אלה תשובה :(
שחזורים 2018 - מועד א',מה מסביר את התופעה של מחלות מרובות גברים בלבד?,הורמונים נשיים מפצים על פגמים אפשריים,יש להם כרומוזום X אחד,,,,,2,גנטיקה,FALSE,,
שחזורים 2018 - מועד א',איזה מההבאות מבטאת פוליגניות,צבע עור,מורפולוגיה של אפונים (אפון מקומט או אפון עגול),2 צבעים בפרח,בעלי סוג דם ABO,,,1,גנטיקה,FALSE,,
שחזורים 2018 - מועד א',בניסוי הזבובים של מורגן התקבלו צאצאים בדור F1 עם עיניים אדומות ורק לזכרים עיניים לבנות. מה אפשר ללמוד מכן?,הגן מקושר לכרומוזום Y,הגן הינו אוטוטרופי,הגן מצומד לכרומוזום X,הגן הינו גן דומיננטי אבל משפיע רק על זכרים,,,,גנטיקה,FALSE,,אני קצת מבולבל מהשאלה
שחזורים 2018 - מועד א',אלל דומיננטי הוא,נפוץ בקרב האוכלוסיה,מזרז את האבולוציה,"בנוי אחרת, מכיל יותר נואקלאוטידים של c ו g ולכן יותר חזק",אף אחת מהתשובות,,,,גנטיקה,FALSE,,אני חושב שזה 4
שחזורים 2018 - מועד א',tRNA שמגיע לריבוזום כשאליו קשורה חומצת אמינו,נכנס לa,עובר מp לe,"tRNA בכלל לא מגיע עם חומצת אמינו קשורה, הוא קושר אותה במפגש עם mRNA",הוא מתפרק לבסיסיו על מנת שלא יפריע לפעולה ויתקע אותה,,,,גנטיקה,FALSE,,אני מבולבל מאוד
שחזורים 2019 - מועד א',מהן שלושת העל ממלכות (domain)?,"חיידקים, צמחים וחיות","בעלי חיים, צמחים, חיידקים ופונגי","חד תאיים, דו תאיים, רב תאיים","ארכיאה, בקטריה, אאוקריוטה",,,4,כללי,FALSE,,1
שחזורים 2019 - מועד א',תהליך הוויסות הנפוץ ביותר בעולם החי:,פידבק חיובי - התוצר מגביר את הגירוי שהביא ליצירתו,פידבק חיובי - התוצר מוריד את הגירוי שהוביל ליצירתו,פידבק שלילי - התוצר מוריד את הגירוי שהביא ליצירתו,פידבק שלילי- התוצר מגביר את הגירוי שהביא ליצירתו,,,3,כללי,FALSE,,2
שחזורים 2019 - מועד א',מה מאפיין קשר כימי פולרי?,האלקטרושליליות בין האטומים דומה,האלקטרושליליות בין האטומים שונה,אין קשר בין פולריות לאלקטרושליליות,,,,2,כימיה של החיים,FALSE,,3
שחזורים 2019 - מועד א',איזה מהקשרים נותן את התכונות הייחודיות (properties emerging) של המים?,קשרי מימן,קשרי פחמן,קשרים יוניים,קשרים קוולנטיים,,,1,כימיה של החיים,FALSE,,5
שחזורים 2019 - מועד א',מהי קוהזיה?,אינטראקציה קוולנטית בין מולקולות דומות,אינטראקציה לא קוולנטית בין מולקולות דומות,אינטראקציה קוולנטית בין מולקולות שונות,אינטראקציה לא קוולנטית בין מולקולות שונות,,,2,כימיה של החיים,FALSE,,6
שחזורים 2019 - מועד א',איזה היגד הוא נכון?,אננטיומרים הם סוג של איזומרים בעלי נקודת רתיחה זהה,אננטיומרים הם סוג של איזומרים בעלי נקודת רתיחה שונה,איזומרים הם אננטיומרים בעלי נקודת רתיחה זהה,איזומרים הם אננטיומרים בעלי נקודת רתיחה שונה,,,1,כימיה של החיים,FALSE,,7
שחזורים 2019 - מועד א',מה מרכיב מעל 50 אחוז מנפח התא היבש?,מונומרים,דימרים,פולימרים,אננטיומרים,,,3,כימיה של החיים,FALSE,,8
שחזורים 2019 - מועד א',מה מתרחש בתהליך הקשירה בין 2 חמצות אמינו?,הידרוליזה תוך יצירת קשר מימן,הידרוליזה תוך יצירת קשר יוני,הידרוליזה תוך יצירת קשר אסטרי,דה-הידרציה תוך יצירת קשר קוולנטי,,,4,כימיה של החיים,FALSE,,9
שחזורים 2019 - מועד א',אילו קשרים מאפיינים את מולקולות המים כנוזל?,קשרי מימן לזמן קצר יחסית,קשרי מימן לזמן ארוך יחסית,קשרי ו.ד.ו לזמן קצר יחסית,קשרי ו.ד.ו לזמן ארוך יחסית,,,1,כימיה של החיים,FALSE,,10
שחזורים 2019 - מועד א',מה מהבאים נכון לגבי מולקולות מים ותכונת קיבול החום הסגולי שלהן?,בעלות חום סגולי נמוך ולכן יש להשקיע הרבה אנרגיה כדי לגרום לעלייה בטמפרטורה,בעלות חום סגולי נמוך ולכן יש להשקיע מעט אנרגיה כדי לגרום לעלייה בטמפרטורה,בעלות חום סגולי גבוה ולכן יש להשקיע הרבה אנרגיה כדי לגרום לעלייה בטמפרטורה,בעלות חום סגולי גבוה ולכן יש להשקיע מעט אנרגיה כדי לגרום לעלייה בטמפרטורה,,,3,כימיה של החיים,FALSE,,11
שחזורים 2019 - מועד א',לאילו מהצמחים בתנאים ממוזגים (26-23 צלסיוס) תהיה עדיפות?,C3,C4,אלו בעלי נקודת הקומפנסציה הגבוהה יותר,תשובות א' ו-ג',תשובות ב' ו-ג',,4,ביולוגיה של התא,TRUE,,13
שחזורים 2019 - מועד א',"קרן אור באורך 690nm פוגעת בכלרופלסט, מה יקרה?",נוצרים ATP ו-NADPH מפוטוסטיסטם 1 שמקבלת גלי אור עד 700nm,נוצר גרדיאנט פרוטונים קטן יותר,האלקטרונים יקלטו בפוטוסיסטם 2 ויהיה גרדיאנט פרוטונים,לא נקלטים אלקטרונים מאורך גל גבוה מ680nm במרכז הריאקציה,"תלוי בסוג הצמח, אם הצמח C3 או C4",,2,ביולוגיה של התא,FALSE,,14
שחזורים 2019 - מועד א',מערכת שאינה נמצאת בשיווי משקל כימי (equilibrium):,לא יכולה לבצע עבודה,אין לה אנרגיה קינטית,צורכת אנרגיה במצב יציב,משחררת אנרגיה בכדי להגיע למצב יציב,,,4,ביולוגיה של התא,FALSE,,15
שחזורים 2019 - מועד א',דוגמא לאנרגיה קינטית שאינה אנרגיה פוטנציאלית:,חיפושית הזוחלת לקראת אוכל,מולקולת גלוקוז,מים נופלים במפלי הניאגרה,אור הנפלט מגחלילית,,,1,ביולוגיה של התא,FALSE,,17
שחזורים 2019 - מועד א',מה מהבאים לא מתרחש במעגל קלווין?,חמצון של NADPH,שחזור של RuBP,שחרור של חמצן,יצירה של ATP,,,3,ביולוגיה של התא,FALSE,,19
שחזורים 2019 - מועד א',"המשוואה הנתונה: C6H12O6 + 6O2 --> 6CO2 + 6H2O + Energy, מה נכון לגביה?",O2 מחוזר ו-CO2 מחומצן,O2 מחומצן ו-H2O מחוזר,CO2 מחוזר ו-O2 מחומצן,C6H12O6 מחומצן ו-O2 מחוזר,,,4,ביולוגיה של התא,FALSE,,20
שחזורים 2019 - מועד א',מי מהמשפטים הבאים מתאר את הקשר בין פוטוסינתזה לנשימה תאית?,לנשימה יש את אותו מסלול ביולוגי כמו של פוטוסינתזה רק הפוך,"פוטוסינתזה קיימת רק בצמחים, נשימה תאית קיימת רק בחיות","נשימה תאית זה תהליך אנאבולי, פוטוסינתזה זה תהליך קטבולי","נשימה תאית משתמשת באנרגיה שאצורה במולקולה אורגנית, בעוד פוטוסינתזה אוגרת
אנרגיה במולקולה אורגנית.",,,4,ביולוגיה של התא,FALSE,,21
שחזורים 2019 - מועד א',מה נכון לגבי תאים פרוקריוטים?,יש להם ריבוזומים,יש להם ממברנה,יש להם ER,יש להם דופן,"תשובות א, ב ו-ד",אף תשובה אינה נכונה,5,ביולוגיה של התא,TRUE,,22
שחזורים 2019 - מועד א',מה הדבר הקטן ביותר שניתן לראות במיקרוסקופ אור רגיל?,מיטוכנודריה,מיקרוטובולי,ריבוזום,מיקרופילמנט,,,1,ביולוגיה של התא,FALSE,,23
שחזורים 2019 - מועד א',איפה נוצרים חלבונים מלבד בריבוזומים חופשיים וריבוזומים אשר קשורים לER?,מיטוכונדריה,גולג'י,תווך בין תאי,פריאוקסיזום,,,1,ביולוגיה של התא,FALSE,,24
שחזורים 2019 - מועד א',מה היתרון בשימוש בpolymerase taq ב pcr?,יכול להיקשר לפריימר,כמות קטנה מספיקה להשלמת מחזור שלם בpcr,עמיד בטמפ גבוהות,נקשר הכי טוב להיבריד פריימר בdna יחסית לפולימראזות אחרות,,,3,ביולוגיה של התא,FALSE,,25
שחזורים 2019 - מועד א',"a יון, b מולקולה פולארית גדולה, c חומר הידרופובי, מה נכון לגביהם? (בהמשך המבחן
הוסיפו שיובהר כי מדובר במעבר פאסיבי)",a לא חודר את ממברנת התא אך חודר את הממברנה er,b חודר את ממברנת התא אבל לא את הer,c חודר את הממברנה אך לא את הer,c חודר את ממברנת התא וגם את הer,,,4,ביולוגיה של התא,FALSE,,27
שחזורים 2019 - מועד א',"X-חומר הידרופילי שחודר לתא בפינוציטוזיס, Z -רצפטור חוצה ממברנה מיוצר בer וממוקם
על הליזוזום. Y -חלק משלד התא. איזה מפגש עשוי להתרחש:",מפגש בין X לבין החלק של Z שפונה לציטוזול,מפגש בין X לציטוזול,מפגש בין Y לחלק של Z שפונה לציטוזול,מפגש בין Y לחלק של Z שלא פונה לציטוזול,,,3,ביולוגיה של התא,FALSE,,28
שחזורים 2019 - מועד א',"להשלים משפט: ___ היא דרך של התא להכניס חלקיק גדול (חיידק למשל) והיא ___
אנרגיה.","דיפוזיה, דורשת","פינוציטוזיס, דורשת","פאגוציטוזיס, לא דורשת","אנדוציטוזיס מתווכת קולטנים, דורשת","פאגוציטוזיס, דורשת",,5,ביולוגיה של התא,FALSE,,29
שחזורים 2019 - מועד א',"אורגניזם חד תאי חי בסביבה קרה ורוצה למנוע פלואידיות יתר של הממברנה שלו כאשר
הוא עובר לסביבה חמה יותר, המנגנון שישתמש בו:",חומצות שומן ארוכות יותר,הגברת קשרים כפולים בחומצות השומן שבפוספוליפידים,היעדר כולסטרול בממברנה,"הוספת מטען ל""ראשים"" ההידרופיליים",,,1,ביולוגיה של התא,FALSE,,30
שחזורים 2019 - מועד א',מהי אוסמוזה?,מעבר של מומסים נגד מפל הריכוזים,מעבר של מומסים בכיוון מפל הריכוזים,מעבר של מים המושפע מריכוז המומסים,,,,3,ביולוגיה של התא,FALSE,,31
שחזורים 2019 - מועד א',מה מאפיין את הפעולה של ה pump+ K+\Na?,האפיניות )זיקה( ליוני Na + הינה גבוהה ביותר לאחר זרחון המשאבה,האפיניות ליוני K +היא גבוהה יותר לאחר זרחון המשאבה,המשאבה מעבירה את אותה כמות של יונים לשני צידיי הממברנה,"שחרור יוני Na +למרחב החוץ תאי מתרחש בעקבות הריכוז הנמוך יותר של יום במרחב
זה )ביחס לפנים התא(",,,2,ביולוגיה של התא,FALSE,,32
שחזורים 2019 - מועד א',"חוקרת טיפלה בתא בחומר YY. בדקה את ההשפעה על מסלול העברת אותות מתווך חלבון
g ואדנלין ציקלאז. נרשמה הגברת תהליך העברת אותות בתא. למה גרם החומר?",מניעת הפיכת cAMP ל AMP,מניעת הפיכת AMP לATP,מניעת הפיכת GDP לGTP,הגברת הידרוליזה של GTP לGDP,מניעת הפעילות של A Kinase Protein,,1,ביולוגיה של התא,FALSE,,33
שחזורים 2019 - מועד א',"מתי מתרחש שינוי ברצף של הכרומוזומים? (למשל שינוי בכרומוזום מספר 10 שמקורו
מהאמא)",אנאפאזה במיוזה בלבד,פרופאזה 1 ו2 במיוזה,מטאפזה 1 במיוזה בלבד,פרופאזה 1 במיוזה בלבד,מטאפאזה במיוזה ומיטוזה,,4,ביולוגיה של התא,FALSE,,34
שחזורים 2019 - מועד א',מי מהחלבונים הבאים יהיה מעורב במעבר דרך נקודת הpoint Check S/G1?,חלבון הבודק חיבור של כרומוזומים למיקרטובולי,חלבון המוודא שכפול צנטרוזומים,"חלבון שפעילותו מושפעת מחוסר דיוק בשכפול הדנ""א",חלבון שמגיב לקישור פקטור גידול אל הקולטן שלו,חלבון שמפרק את ממבראנת הגרעין,,4,ביולוגיה של התא,FALSE,,35
שחזורים 2019 - מועד א',מה מאפיין חלבוני ציקלין?,הם kinases,הם phosphatases,רמת הביטוי שלהם זהה לאורך כל מחזור התא,הם מפרקים חלבוני CDK,הם משנים את הקונפורמציה של חלבוני CDK,,5,ביולוגיה של התא,FALSE,,36
שחזורים 2019 - מועד א',מיהו הסובסטרט של האנזים C phospholipase?,הפוספוליפיד PIP2,IP3,חלבון G,GTP,הקולטן המצומד לחלבון G( GPCR),,1,ביולוגיה של התא,FALSE,,37
שחזורים 2019 - מועד א',מה לא מאפיין אפופטוזיס?,מוות תאי,שפיכת תוכן הציטוזול לחלל הבין תאי,חלבונים יעודיים אשר חותכים חלבונים אחרים,תהליך עוברי תקין,,,2,ביולוגיה של התא,FALSE,,38
שחזורים 2019 - מועד א',"למה הצאצאים בדור F1 בניסוי של מנדל, היו רק סגולים ולא לבנים, או ערבוב?",כי זה הוא האלל הדומיננטי,בגלל תופעת האפוסמוסיס,,,,,1,גנטיקה,FALSE,,39
