מושגים,אנגלית,משמעות,נושא,,,,
מיקרוסקופ סורק ,,מפקס קרן אלקטרונים על המשטח ובכך מספק תמונות תלת ממדיות,אנרגיה של החיים - עדי אבני,,,,
מיקרוסקופ טרנמיסטור(תשדורת),,"מפקס קרן אלקטרונים דרך דגימה, האלקטרונים עוברים איפה שאין שום דבר , ובמקומות בהם נתקעים נקבל מחסור באור(שחור) וכך נוכל לראות את המבנה התוך תאי",אנרגיה של החיים - עדי אבני,,,,
אאוקריוטי,,"בע""ח. תא יש סביבו ממברנה,  ה DNA לינארי. יכול להיות חד תאי או רב תאי.  יש ריבוזום המייצר חלבונים . יותר מורכב , ה DNA נמצא בגרעין . יש הרבה אורגנלות בתוך התא העטופים גם הם בממברנה. ",הביולוגיה של התא - עדי אבני,,,,
פרוקריוטי,,"תא יותר קדום. חיידקים (ארכיאה) וכלאה יוצרים מחלות. כל התאים הפרוקריוטים הם בעצם חד תאיים. התא עטוף בממברנה, אין להם גרעין. יש לו DNA מעגלי הנמצא בכל התא (חסרי גרעין). אין להם אורגנלות תוך תאיות העוטופות בממברנה .יש ריבוזום המייצר חלבונים .לחלקם יש זנב המאפשר תנועה. ",הביולוגיה של התא - עדי אבני,,,,
גרעין,,"האזור בתוך התא בו מרוכז ה DNA. הוא עטוף ע""H ממברנות בה יש חורים דרכם יכולים לעבור חומרים מבחוץ פנימה (נוקלאוטידים, אנזימים) ומבפנים החוצה (כמו ה RNA)",הביולוגיה של התא - עדי אבני,,,,
כרומטין,,"ה DNA הוא נראה כתעורבת של חוטים, כאשר הוא קשור לחלבונים ובמבנה הזה הוא נקרא כרומטין.  מבנה ה DNA יחד עם החלבונים.",הביולוגיה של התא - עדי אבני,,,,
כרומוזום,, DNA עצמו מחולק למקטעים שונים שכל אחד מהם נקרא כרומוזום.  אפשר לראות את מבנה הכרומוזומים רק בשלב החלוקה של DNA אז הוא מכפיל את עצמו. בזמן החלוקה הכל נדחס - הDNA והחלבונים וניתן לראות בבירור יותר.בכל כרומוזום יש מולקולה אחת של DNA .,הביולוגיה של התא - עדי אבני,,,,
נוקלאולוס,,"אזור יותר דחוס,  בו נמצאים הגנים המקודדים ל RNA ריבוזומלי . שם נמצאים הגנים המקודדים ליצירת הריבוזום הבנוי מחלבונים ומ RNA.. אזור מאוד פעיל.",הביולוגיה של התא - עדי אבני,,,,
ריבוזום,,"בית חרושת המייצר חלבונים. בנוי בעיקר מחלבונים ומ- RNA.
שני סוגים של ריבוזומים : 
חופשי - מסתובב בציטופלסמה 
קשור - נקשר לממברנות של איברונים בתא
יש הבדל בין החלבונים הנוצרים מכל סוג",הביולוגיה של התא - עדי אבני,,,,
רשתית התוך-פלזמית,ER,"מדובר ברשת צינורות ושקי ממברנות המשכית לממברנת הגרעין ולה שני אזורים:
1) The rough ER - כאשר יש ריבוזומים על הממברנות הם נותנים צורה מחוספסת לממברנה ועליהם יש יצירה של חלבונים שאפשר להעביר מתוך התא לממברנה.
2) ER Smooth - בממברנה חלקה לא יהיו ריבוזומים ויווצרו שם ליפידים עם נוכחות של אנזימים
שונים.",הביולוגיה של התא - עדי אבני,,,,
גולג'י,golgi,מערכת השינוע. כדי לשנע את החלבונים /חומרים שיצרנו צריך איזשהו איבר שינוע וזהו הגולג'י. גם הן ממברנות המאפשרות מעבר של הוזיקולות (שלפוחיות) ממקום למקום,הביולוגיה של התא - עדי אבני,,,,
ליזוזום,,"בתאי בעלי חיים, אל הליזוזום נשלחים חומרים שאינם רצויים יותר בתא )פסולת( כדי שהחומרים הללו יפורקו
שם. הליזוזום יהיה פח הזבל של התא, פעולותיו העיקריות של הליזוזום יהיו עיכול חומרים חיצוניים ועיכול עצמי של התא במצב של מוות תאי.",הביולוגיה של התא - עדי אבני,,,,
תא צמחי,,"גם כן אאוקריוטי. יש את הגרעין , ה ER, גולג'י ונוסף על כך נוסף אזור הנקרא וקואלה והוא מה שלוקח על הציטופלסמה כדי שתלחץ על דופן התא",הביולוגיה של התא - עדי אבני,,,,
דופן התא,,תוחם את התא והוא מיוחד לצמחים ולא קיים בתא אנימלי. הוא בנוי מסוכרים וקשיח מה שמונע תזוזת הצמחים. ,הביולוגיה של התא - עדי אבני,,,,
וקואלה,,דומה לליזוזום. אפשר לשלוח את כל הזבל ואת חומרי התשמורת (כמו עמילן). לוחץ את הציטופלסמה לדופן ואין מרווח. מרכיב את רוב התא הצמחי. תוספת כמעט את כל נפח התא. ,הביולוגיה של התא - עדי אבני,,,,
כלורופלסט,," פלסטידה(אברונים בצמחים) המצוי בתאיהם של כמעט כל הצמחים והאצות, והמשמש לביצוע פוטוסינתזה. שמו של הכלורופלסט הגיע מהכלורופיל המצוי בו.
בצמחים, גם כן האיבר שיוצר אנרגיה לתא. פוטוסינתזה. עשוי ממברנה כפולה. מכיל גם כן DNA מעגלי(בגלל המקור החיידקי), יכול לסנתז RNA. רוב הגנים החשובים לבניית הגנים לכלורופלסט מקודדים ב DNA.",הביולוגיה של התא - עדי אבני,,,,
מיטוכונדריה,,"האיבר שיוצר את מירב האנרגיה לתא, במערכת יצירה של ATP. במיטוכונדריה יש DNA מעגלי . אבל רוב הגנים המקודדים למיטוכונדריה נמצאים בגרעין. יש בו הרבה ממברנות, ממברנה כפולה(אחת מעל השניה). סביב הממברנה יש את ממברנת ה ER. ",הביולוגיה של התא - עדי אבני,,,,
שלד תוך תאי,Cytoskeleton," כל האברונים קשורים על
ידיו. שנמצא בכל רחבי התא כמעין שלד
המאפשר תנועה ממקום למקום ומייצב
חלק מהאברונים שצריכים להיות קבועים
במקומות מסויימים ברחבי התא. על גבי
הרשת הזו נעות הבזיקולות.",הביולוגיה של התא - עדי אבני,,,,
מוטור פרוטיינס,,"מנוע שמאפשר תנועה בתא על גבי השלד. לדוגמא, הנצה של בזיקולה מהגולג'י לא תספיק כדי שהיא תעבור למעלה, כל בזיקולה נעה בצורה מסודרת המתקיימת על ידי המוטור פוטיינס.",הביולוגיה של התא - עדי אבני,,,,
המיקרוטובולס,,"בנוי מחלבון שנקרא טובולים ויוצרים את החוט הזה אשר על גביו הוזיקולות נעות. בכל התאים צריך תנועה של חומרים שונים ממקום למקום והיא נעשית על גבי הבזיקולות הללו שמאפשרות את
התנועה על גבי מבנים בגדלים שונים.",הביולוגיה של התא - עדי אבני,,,,
חלבוני מנוע,,מאפשרים תנועה על גבי החוטים - פילמנט .קושרים אליהם את הוזיקולה ונעים איתה. נקשר לשני הצדדים. מצד אחד לוזיקולה מצד שני מיקרו טובולוס. הוזיקולה נעשה על גבי המיקרוטובולין. ,הביולוגיה של התא - עדי אבני,,,,
,Cell junction,"מעבר ישיר של אות בין תא אחד לשני:
בתא צמחי - plasmodesmata . חורים שיכולים להיסגר ולהיפתח, יציאה של חומרים בלי לצאת מהתא.
בתא אנימלי - gap junction",הביולוגיה של התא - עדי אבני,,,,
,GTP,"הוא תרכובת כימית בעלת מבנה של בסיס חנקני גואנין, בתוספת סוכר ריבוז ושלוש קבוצות פוספט. GTP היא אחת התרכובות החשובות ביותר בכל היצורים החיים, והיא יכול לשמש כמצע ליצירה של RNA בתהליך השעתוק, וכמקור אנרגיה וכמפעיל של תהליכים מטבוליים. בין היתר משמש GTP כמקור אנרגיה ביצירת חלבונים, והוא מנוצל על ידי חלבוני G במסלולי מעבר אותות.",הביולוגיה של התא - עדי אבני,,,,
מיקרופילמנטים,,אברונים דומים אך יותר קטנים מהמיקרוטובולים ואטומים. נועדו לשאת לחץ ולהתנגד לכוחות המשיכה השונים בתא,הביולוגיה של התא - עדי אבני,,,,
מיקרוטובולים,,"הצינורות העבים ביותר, שומרים על צורתו של התא, מקנים לו ולכרומוזומים העוברים חלוקה תאית יכולת תנועה ועוד.",הביולוגיה של התא - עדי אבני,,,,
פילמנט ביניים,,"סיבים
חלבוניים בגודל בינוני
המלופפים לכדי כבלים
ושומרים על צורת התא,
מעגנים את הגרעין
והאברונים השונים. ",הביולוגיה של התא - עדי אבני,,,,
חמצון ,,ראקצייה של איבוד אלקטרון,הביולוגיה של התא - עדי אבני,,,,
חיזור,,ריאקצייה של קבלת אלקטרון,הביולוגיה של התא - עדי אבני,,,,
,NAD+,מולקולה שיכולה להיות נשא של אלקטרונים ולעבור בין שני המצבים של חמצון חיזור,הביולוגיה של התא - עדי אבני,,,,
,NADH,מעביר אלקטרונים בשרשרת העברת האלקטרונים,הביולוגיה של התא - עדי אבני,,,,
אוטוטרופ,,אורגניזם שיכול לייצר מזון לעצמו,הביולוגיה של התא - עדי אבני,,,,
אילופלואידים.,,הממברנות של הכלורופלסט,הביולוגיה של התא - עדי אבני,,,,
מולקולה פלורוסנטית,,– כאשר מאירים על מולקולה כזו באורך גל אחד יוחזר אורך גל אחר,הביולוגיה של התא - עדי אבני,,,,
טופואיזומראז,,טופואיזומראז הוא אנזים מסוג איזומראז אשר פועל על ה-DNA ומשנה את המבנה הטופולוגי שלו,גנטיקה,,,,
פאגוציטוזה,,"פָגוֹצִיט, בעברית נקרא תָּא בּוֹלְעָן הוא תא שבולע גופים קטנים אחרים.טופואיזומראז הוא אנזים מסוג איזומראז אשר פועל על ה-DNA ומשנה את המבנה הטופולוגי שלו",גנטיקה,,,,
ערעור מולקולות.,,אם יש שכנים האלקטרון יכול לעבור לרמה אנרגטית אחרת שלהם ולגרום להקפצה של אלקטרון אצל האטום השכן לו. כך יש אפשרות להעברת אנרגיה בין שתי מולקולות שונות קרובות זו לזו,הביולוגיה של התא - עדי אבני,,,,
גרדיאנט הפרוטונים,,,,,,,
חלבונים פריפריאליים,,"חלבון לא נעוץ בתוך הליבה. הוא נמצא על הממברנה (מבפנים או מבחוץ). הדרך בה חלבון זה יכול להיקשר לאורך זמן לממברנה היא ע""י גורמים שונים כמו:
דרך ראשונה ← הכרה מולקולרית בין המבנים החלבוניים לממברנה ולכן הם ""ידבקו"" בה.
דרך שניה ← היא ""חבר מביא חבר"" חלבונים אשר נקשרים לחלבונים אחרים הנמצאים בממברנה (לחלבונים האינטגרלים)",,,,,
דיפוזיה,,נטייה של חומר להתפזר במרחב עד למצב שבו יהיה ריכוז אחיד במרחב.,,,,,
מעבר סביל,,המעבר לא ידרוש השקעה אנרגטית. המנגנון המאפשר את המעבר הוא תופעה של דיפוזיה- מעבר של מומסים ואוסמוזה- מעבר של מים.,,,,,
אוסמוזה,,"כאשר יש חומר שאינו יכול לעבור בין האזורים השונים, מה יקרה כדי להגיע לשיווי משקל? המים עצמם יעברו בין שני הצדדים ונגיע לשוויון ריכוזים ע""י מעבר של מים. ",,,,,
סביבה איזוטונית,,יש מחוץ לתא ובתוך התא אותו ריכוז מומסים.,,,,,
סביבה היפוטונית,,ריכוז המומסים בתוך התא גבוה יותר מריכוז המומסים בתוך התא ,,,,,
סביבה היפרטונית,,כאשר יש ריכוז גבוה יותר של מומסים מחוץ לתא,,,,,
bulk transport,,"מנגנון מאפשר יצירה ואיחוי של החומרים הרצויים לתוך התא.
- מדובר במעבר דומה למעבר באמצעות בזיקולות.",,,,,
אקסוציטוזה,,"איחוי של הבזיקולות עם הפלזמה ממברן כדי להוציא חומרים
מהתא כך שישפכו החוצה מהתא",,,,,
פאגוציטוזה:,,מדובר בהתליך בו גוף מוצק מגיע אל התאים )לדוגמא – חיידק( שהתא רוצה להכניס אליו משהו כדי להרוס אותו.,,,,,
אנדוציטוזה,,,,,,,
פינוציטוזה,,"באיזשהו מקום בממברנה נוצר שקע
אשר חלבוני מעטפת מייצבים כדי שישמר לאורך
זמן ובסופו של דבר יהיו לנו מנגנונים שיוכלו לחתוך
את השקע וליצור שלפוחית. מדובר בדגימה של נוזל
שנמצא בחלל החוץ תאי כדי שחומרים מבחוץ יכנסו
לתוך התא.",,,,,
אנדוזיטוזה מתווכת קולטנים -,,"חלבונים שמהווים כקולטנים בעלי התאמה צורנית לחלבון ולחומר שנמצא במרחב החוץ תאי, כאשר לאותו החומר יש נטייה לקשור את הקולטן בצורה מועדפת ספציפית",,,,,
פוספרלציה,,"זרחון, הוספת קבוצת פוספט",,,,,
דה-פוספרלציה,,הורדת קבוצת פוספט,,,,,
הידרוליזה,,"מנגנון הכיבוי היא פעולה של הידרוליזה. החלבון חותך את הפוספט השלישי שנמצא בנוקלאוטיד G , חלבונים אלו מכונים GTPases . חלבון (יודע לחתוך חלבונים- פרוטאז. ליפיד שיודע לחתוך ליפידים- ליפאז) חלבון זה יודע לבצע הידרוליזה של הפוספט השלישי",,,,,
הגנוטיפ,,ההרכב הגנטי של יצור מסוים,,,,,
פנוטיפ,,התבטאותן של תכונות היצור,,,,,
תאים סומטיים,,"תאי הגוף, אינם תאי רבייה. מאופיינים בשני סטים של כרומוזומים. לבנ""א יש 23 זוגות של כרומוזומים בכל תא ותא",,,,,
תאים דיפלואידים,,"תאים המכילים שני סטים של כרומוזומים. (בתאי הרבייה יש חצי מהכמות, רק סט אחד)",,,,,
מיטוזה,,היא תהליך במחזור התא שבו מתחלק גרעין התא לשני גרעינים שבכל אחד מהם מצויים בסופו של התהליך מספר של כרומוזומים הזהה למספר הכרומוזומים שהיו בגרעין התא לפני החלוקה,,,,,
מיוזה,, היא תהליך של חלוקת גרעין התא המתרחש בעיקר בתהליך ההבשלה של תאי רבייה,,,,,
pH,,"הוא מדד לרמת חומציות של תמיסה מימית, המתבסס על ריכוזם של יוני הידרוניום. ",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
