מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,מי הוסיפ/ה,הערות
בחנים ותרגולים מהמודל,איזה מהמשפטים הבאים אינו נכון?,יוביקויטין נקשר באופן קוולנטי לחלבון המטרה,חלבון אשר עובר פירוק בפרוטאוזום מתפרק אך ורק לחומצות אמינו בודדות,תפקיד ה E1 לאקטב מולקולת יוביקויטין בתהליך הדורש השקעת אנרגיה,E1 מעביר את מולקולת היוביקויטין ל E2 אשר נמצא בקומפלקס עם E3.,,,2,יוביקוויטין ופרוטאזום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מי מהחלבונים הבאים מבצע הידרוליזה של ATP בשביל לפרק קומפלקסים של SNAREs לאחר איחוי של וזיקולה?,Sar1,Rab,NSF,ARF1,,,3,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,וזיקולות מצופות ב cop II מתווכות מעבר בין שני אתרים. מהם אותם אתרים ומהו כיוון תנועת הוזיקולות?,ER ל – גולג'י,גולג'י ל- ER,גולג'י לפרוטאוזום,מהגולג'י לממברנת התא,"תשובות 1, 2 נכונות",,1,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מהו תפקידם של vSNARE ו- tSNARE?,תווך במעבר מולקולות מהגרעין לציטופלסמה,קו-פקטורים מצומדים בסינתזה של חומצות גרעין,קישור של הוזיקולה העוברת מה -ER ל- גולג'י,ביצוע תהליכי מודיפיקציה לחלבונים בגולג'י,,,3,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,למה יגרום טיפול בחומר המונע הנצה של וסיקולות מה- ER ?,ה ER יעלם לתוך הגולג'י,הגולג'י יעלם ל ER,המערכת תקפא ותמתין להסרת החומר X,ינצו וסיקולות ללא מעטה,,,2,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,החומר X מונע הנצה של וסיקולות מה ER. על מה יכול החומר X להשפיע?,קישור GTP לחלבון Sar1,פירוק GTP על ידי Sar1,קישור v-snare ל t-snare,קישור ATP לחלבון Sar1,,,1,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,האנרגיה הדרושה להורדת הציפוי של וזיקולה המצופה ב- copII מתקבלת מ:,שחלוף GDP (שיוצא) ב–GTP (שנכנס) על גבי SARI,הידרוליזה של GTP הקשור ל-SARI,זרחון של GDP למתן GTP שעל SARI,התהליך אינו דורש השקעת אנרגיה,,,2,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה קובע את יעד הוזיקולה?,ה v–SNARE באתר המטרה,השילוב בין ה v- SNARE וה t- SNARE שעל הואזיקולה,ה v- SNARE שעל הואזיקולה,השילוב בין ה v- SNARE שעל הואזיקולה עם ה t- SNARE באתר המטרה,,,4,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,אלו מההשלכות הבאות אפשריות למצב בו נוריד את רצף ה KDEL מצ'פרוני ה ER?,תחול פגיעה באיכות החלבונים המופרשים מהתא,הצ'פרונים יופרשו מהתא,"הצ'פרונים יימצאו בציטוזול, אך לא יתפקדו עקב היעדר תנאים מתאימים",הצ'פרונים יחלו בקיפול חלבונים ציטוזולים,תשובות א ו-ב,תשובות א ו-ג,5,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,"חוקר השתמש בחומר המונע את קישור ה- KDEL receptor שבגולג'י לרצף KDEL, למה יגרום החומר?",הצטברות של צ'אפרונים ב-ER.,הצטברות של וזיקולות מצופות COPI בציטוזול.,פגיעה בשינויים העוברים על השרשרת הסוכרית של גליקופרוטאינים בגולג'י.,ירידה משמעותית בכמות הצ'אפרונים ב- ER ופגיעה באיכות קיפול החלבונים.,,,4,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה לא דרוש למיחזור (retrieval) של צ'פרונים של ה- ER?,שחלוף GDP ב–GTP על גבי SARI,קישור רצף KDEL בצ'פרון לרצפטור ל-KDEL בגולג'י,קישור של הרצפטור ל-KDEL לחלבוני הציפוי COPI,,,,1,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,סמנו את המשפט שאינו נכון:,דרושה הידרוליזה של GTP לצורך קישור של Sar1 ל-Sar1-GEF.,וזיקולות שיוצאות מהגולג׳י חומציות יותר מוזיקולות שנכנסות אליו מה-ER.,"הגולג׳י יותר חומצי מה-ER, והבדל זה גורם לניתוק רצף ה-KDEL מהרצפטור שלו ב-ER.",,,,1,גולג'י+וזיקולות+הפרשה מבוקרת וקבועה,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,אילו פעילויות יובילו להגברה של השעתוק?,פעילות מוגברת של histone methyl transferase ו-HDACs,פעילות מוגברת של histone kinase ו-HAT,פעילות מוגברת של histone kinase ו-histone methyl transferase,פעילות מוגברת של histone phosphatase ו-HDACs,,,2,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,אילו מודיפיקציות עוברים ההיסטונים?,אצטילציה ויוביקוויטילציה על גבי שיירי ליזין,מתילציה על שיירי ליזין או ארגינין,אצטילציה וזרחון על גבי שיירי ליזין,זרחון ומתילציה על שיירי סרין,זרחון על גבי שיירי סרין,א + ב + ה,6,מודיפיקציות שלאחר תרגום,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,אילו מולקולות מכיל העוגן GPI בנוסף לאינוזיטול?,קבוצת פרניל (Prenyl) ואצטיל,פוספוליפיד ושרשרת סוכר,קבוצת פרניל (Prenyl) ושרשרת סוכר,פוספוליפיד וקבוצת אצטיל,,,2,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי תהליכי מתילציה ואצטילציה?,הן מתרחשות על סוגים שונים של חומצות אמינו וגורמות לאותו מטען של הקבוצה הצדדית (side chain),הן מתרחשות על אותו סוג של חומצת אמינו וגורמות לאותו מטען של הקבוצה הצדדית (side chain),הן מתרחשות על אותו סוג של חומצת אמינו וגורמות למטען שונה של הקבוצה הצדדית (side chain),הן מתרחשות על סוגים שונים של חומצות אמינו וגורמות למטען שונה של הקבוצה הצדדית (side chain),,,3,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,אילו תהליכים מתרחשים בגולג'י?,פוספורילציה,הוספה של GlcNAc,הסרה של שיירי מנוזים,א + ג,ב + ג,כל התשובות נכונות,6,מודיפיקציות שלאחר תרגום,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,לאילו חומצות אמינו יכולים להתחבר סוכרים?,לשיירי סרין,לשיירי טראונין,לשיירי סרין ואספרגין,"לשיירי סרין, טראונין ואספרגין",,,4,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,כיצד מתווספים סוכרים לחלבונים בתהליך הגליקוזילציה מסוג N ?,לאחר כניסת החלבון לER מוספים הסוכרים אחד אחרי השני לחלבון.,"""העץ"" הסוכרי נבנה על גבי ליפיד ממברנלי קבוע ומועבר בשלמותו לחלבון, בדרך כלל לאחר גמר התרגום","""העץ"" הסוכרי נבנה על גבי ליפיד ממברנלי קבוע ומועבר בשלמותו לחלבון, בדרך כלל במהלך התרגום",הסוכרים מתווספים לחלבונים עוד בציטפלסמה ומועברים עם החלבונים ל ER,,,3,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,"לאיזו מולקולה נקשר GlcNac בתהליך יצירת ""עץ"" הסוכרים?",UDP,GDP,ADP,TDP,,,1,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה מהתהליכים הבאים אינו מתרחש בגולג'י?,זרחון של סוכרים,גליקוזילציה מסוג O על גבי סרין וטראונין,הסרת שיירי מנוז לסוכרים מסוג N שעל גבי גליקופרוטאינים,גליקוזילציה מסוג N על גבי אספרגין,הוספת NANA לסוכרים מסוג N שעל גבי גליקופרוטאינים,,4,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,לאיזה חומצה אמינית נקשרת קבוצת הסוכרים תוך כדי סנתזת החלבון בתהליך הגליקוליזציה המתרחש ב- ER?,Asparagine,leucine,glycine,proline,תשובות 3 ו - 4,תשובות 1 ו - 3,1,מודיפיקציות שלאחר תרגום,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מי מהמשפטים הבאים אינו נכון?,קישור הסוכר לחלבון הן בגליקוזילציה מסוג N והן בגליקוזילציה – O נעשה בראקצית דחיסה,בגליקוזילציה מסוג N – יכולה להיות הוספה של GlcNac לחלבון הן בER- (כחלק מהפרקורסור) והן בגולג'י,כל אספרגין ברצף החלבון יכול לעבור גליקוזילציה מסוג N ללא קשר לרצף חומצות האמינו הסמוך,אותו גליקופרוטאין יכול לעבור הן גליקוזילציה מסוג N והן גליקוזילציה מסוג O,,,3,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה מהמשפטים הבאים הוא נכון?,"בגליקוזילציה מסוג N, השיירים הסוכריים מתווספים אחד אחרי השני, באופן רציף, על גבי החלבון","בגליקוזילציה מסוג N, השיירים הסוכרים מתווספים לחלבון רק כאשר הסתיים תרגומו","לחלבון, הנמצא בגולג'י, יש עץ סוכרים שונה מלאותו חלבון ב ER","הוספת העץ הסוכרי הראשון (Precursor), לפני שעבר שינויים, הינה סימן לדגרדציה",,,3,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,רק אחת מהתשובות הבאות מתארת סדר אפשרי במסלול הגליקופרוטאין בגולג'י. מהי?,הוספת מאנוזים > הוספת N–acetylneuraminic acid > פוספורילציה > הסרת GlcNac.,פוספורילציה > הוספת N-acetylneuraminic acid > הסרת מאנוזים > הוספת גלקטוז.,הסרת מאנוזים > הוספת GlcNac > הוספת גלקטוז > הוספת N-acetylneuraminic acid.,הוספת GlcNac > פוספורילציה > הסרת N-acetylneuraminic acid > הוספת גלקטוז.,,,3,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,לאנשים עם קבוצות דם שונות יש הבדל ב :,אצטילזות (acetylases),גליקוזילטרנספרזות (glycosyltransferases),מתילזות (methylases),גליקוזידזות (glycosidases),,,2,מודיפיקציות שלאחר תרגום,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה צומת מבצע את התפקיד של קישור סיבי intermediate filaments ל-ECM?,Hemidesmosome,Gap junction,Adherens junction,Tight junction,Desmosome,Focal contact,1,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי אינטראקציות cell-cell מתווכות קדהרין (cadherin)?,אינטראקציות הטרופיליות,מתווכות +Ca2,אינטראקציות הומופיליות,מתווכות +Mg2,תשובות 1 ו2,תשובות 2 ו3,6,מטריקס חוץ תאי וצמתים בין תאיים,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,Gap junction יכול לתווך מעבר בין-תאי של:,חלבונים,פוליסכרידים,מונוסכרידים,חומצות גרעין,,,3,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,כיצד מועברת אינפורמציה בין תאים שכנים?,דרך Gap junctions,דרך Adherens junctions,דרך Desmosomes,דרך Focal contacts,,,1,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה מאפשר החיבור בין התאים בצמתי אדהזיה?,מניעה של מעבר חומרים בין התאים,"תאום התנועה של התאים ע""י קישור בין סיבי האקטין שלהם","חיזוק הרקמה ע""י קישור של סיבי ה- intermediate filaments של תא אחד לסיבי ה- intermediate filaments של תא שני",תשובות א וב,תשובות ב וג,,4,מטריקס חוץ תאי וצמתים בין תאיים,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה צומת בונה החלבון קלאודין (Claudin)?,Focal contact & Hemidesmosomes,Adhesion belt & Desmosomes,Gap junction,Tight junction,,,4,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה צומת בונה החלבון קונקסין (connexin)?,Focal contact & Hemidesmosomes,Adhesion belt & Desmosomes,Gap junction,Tight junction,,,3,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה צומת מבצע את התפקיד של קישור סיבי אקטין של תאים שכנים?,Tight junction,Adherens junction,Gap junction,Desmosomes,Focal contact,,2,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה צומת מבצע את התפקיד של תיאום מטבולי בין תאים שכנים?,Tight junction,Adherens junction,Gap junction,Desmosomes,Focal contact,,3,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה צומת מבצע את התפקיד של מניעת מעבר חומרים בין רקמות?,Tight junction,Adherens junction,Gap junction,Desmosomes,Focal contact,,1,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה צומת מבצע את התפקיד של קישור סיבי אקטין של תא עם החומר החוץ תאי?,Tight junction,Adherens junction,Gap junction,Desmosomes,Focal contact,,5,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,איזה צומת מבצע את התפקיד של קישור סיביIntermediate Filaments  של תאים שכנים?,Tight junction,Adherens junction,Gap junction,Desmosomes,Focal contact,,4,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,בחולי קוליטיס כיבית (ulcerative colitis) יש מוטציה בגנים המקודדים לחלבוני Tight Junction. למה זה יכול לגרום?,רווחים בין תאי הפיברובלסטים וחדירה לא ספציפית של חומרים וחיידקים,רווחים בין תאי האפיתל וחדירה לא ספציפית של חומרים וחיידקים,קישור חלש בין תאי האפיתל ל-ECM,פגיעה ב-connexon שגורמת למעבר לא ספציפי של מולקולות בין תא לתא,,,2,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מי מבין המשפטים הבאים אינו נכון לגבי התפקיד של צמתי חסימה (Tight junctions)?,מניעת מעבר חיידקים מחלל המעי אל תוך הגוף,מניעת מעבר חלבונים מחלל המעי אל תןך הגוף,מניעת מעבר מולקולות קטנות (חודרות ממברנה) מחלל המעי אל תוך תאי האפיתל,מניעת מעבר אנזימי עיכול מחלל המעי אל תוך הגוף,,,3,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי glycosaminoglycans (GAGs):,פוליסכארידים בעלי רצפים חוזרניים של די-סוכרים טעונים חיובית,פוליסכארידים בעלי רצפים חוזרניים של די-סוכרים טעונים שלילית,פולימרים סוכריים הידרופיליים שאינם קשורים לחלבונים,פולימרים סיביים בעלי רצפים חוזרניים של שלוש חומצות אמיניות,,,2,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי המטריקס החוץ תאי Extracellular Matrix (ECM):,זהו אוסף פוליסכארידים המופרשים מתאי פיברובלאסטים,זהו אוסף גליקו-פרוטאינים המופרשים מתאי פיברובלאסטים,זהו אוסף חלבונים סיביים המופרשים מתאי פיברובלאסטים,כל התשובות נכונות,,,4,מטריקס חוץ תאי וצמתים בין תאיים,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי Hyaluronan?,לרוב ימצא מצומד לחלבון,לא מכיל קבוצות סולפט (sulfate),הינו glycosaminoglycan (GAG),הינו פוליסכריד טעון שלילית,ב + ג,ב + ג + ד,6,מטריקס חוץ תאי וצמתים בין תאיים,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,כיצד ה-GAGs נקשרים לחלבון ליצירה של proteoglycans?,ישירות לשיירי סרין על גבי החלבון,ה-GAGs לא יכולים להקשר לחלבון,דרך לינקר בעל רצף קבוע של 4 סוכרים (tetrasaccharide) לכל שייר על גבי החלבון,דרך לינקר בעל רצף קבוע של 4 סוכרים (tetrasaccharide) לשיירי סרין על גבי החלבון,,,4,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,סמן את המשפט שאינו נכון,ה-GAGs הן מולקולות הידרופיליות סופחות מים,מבין מרכיבי ה-ECM קולגן הוא בעל המשקל המולקולרי הגדול ביותר,חלק מה-GAGs מופרשים וחלקם נעוצים בממברנת התא,המטען השלילי של היאלורונן נובע מהקבוצות הקרבוקסיליות,,,2,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,במה שונה Hyaluronan מ-GAGs אחרים?,מצומד לחלבון על ידי קישור לשיירי סרין,מכיל רצפים חוזרניים של די-סוכרים טעונים חיובית,מורכב מרצפים חוזרניים קבועים של די-סוכרים,נבנה על גבי הממברנה הפלזמטית,ג + ד,א + ג,5,מטריקס חוץ תאי וצמתים בין תאיים,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מי מהבאים מרכיב עיקרי של ה-basal lamina?,קולגן מס' 1 (collagen type I),פיברונקטין (Fibronectin),אלסטין (elastin),למינין (laminin),קולגן מס' 4 (collagen type IV),ד + ה,6,מטריקס חוץ תאי וצמתים בין תאיים,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה אינו מרכיב של ה-Basal lamina?,למינין,קולגן סוג 4,פרלקן,אלסטין,,,4,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה לא נכון לגבי פיברונקטין (Fibronectin)?,בעל תפקידים בהכרה של תאים,בעל תפקידים בהכרה של מרכיבי ה-extracellular matrix,הינו גליקופרוטאין (glycoprotein),הינו פרוטאוגליקאן (proteoglycan),,,4,מטריקס חוץ תאי וצמתים בין תאיים,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי תפקודה של ה-Basal lamina?,קביעת כיווניות לתאים,משמשת כפילטר,משטח לנדידת תאים,כל התשובות נכונות,,,4,מטריקס חוץ תאי וצמתים בין תאיים,TRUE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי החומר התורשתי:,"איזורים שונים ב-DNA דחוסים באופן שונה, העשוי להצביע רמות שיעתוק שונות","תרגום ה- RNA לחלבונים מתרחש בגרעין, עם תום השעתוק",בתא האאוקריוטי החומר התורשתי נמצא אך ורק בגרעין,,,,1,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מהו NLS?,Nuclear Lamins Sequence,Neuronal Locus Signal,Nuclear Localization Signal,,,,4,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,סיגנל הכניסה לגרעין התא מתווך על ידי:,רצפטור כניסה לגרעין (importin) בודד בעל יכולת קשירה של מגוון סיגנלי כניסה לגרעין (nuclear localization signal) על חלבוני מטרה,רק באמצעות מגוון רצפטורי כניסה לגרעין (importin) בעלי יכולת קשירה של סיגנלי כניסה לגרעין (nuclear localization signal) על חלבוני מטרה,רק באמצעות מגוון חלבונים מתווכים (nuclear import adaptor proteins) בעלי יכולת קשירה של סיגנלי כניסה לגרעין (nuclear localization signal) על חלבוני מטרה ורצפטורי כניסה לגרעין,באמצעות מגוון רצפטורי כניסה לגרעין (importin) בעלי יכולת קשירה ישירה או מתווכת של סיגנלי כניסה לגרעין (nuclear localization signal) על חלבוני מטרה,,,4,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,"ממברנת הגרעין מכילה נקבים(nuclear pores)  דרכם מתבצע מעבר החומרים בין הגרעין לציטוזול. חוקר רוצה להכניס לגרעין חלבון X שלא נמצא שם בד""כ. כדי לעשות זאת הוא חושב לחבר לחלבון שלו מקטע מאוד מסוים מחלבון אחר. איזה מקטע עליו לחבר?",איזור הידרופובי שיאפשר מעבר דרך ממברנת הגרעין,איזור שנקשר ל DNA,איזור שנקשר ל RNA,NLS,,,4,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי phenylalanine-glycine (FG) repeats:,רצפים חוזרניים על חלבוני ה Nuclear pore complex המהווים חסם פיזי לכניסה של מולקולות גדולות,רצפים הידרופיליים על חלבוני ה Nuclear pore complex המהווים חסם לכניסה של מולקולות טעונות,רצפים הידרופוביים על חלבוני ה nuclear lamina המתווכים יציבות של מעטפת גרעין התא,אלו הם סיגנלי כניסה לגרעין המצויים על חלבונים שונים,,,1,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון לגבי Ran GTPase:,Ran-GTP בציטוזול ו- Ran-GDP בגרעין התא מספקים כיווניות לטרנספורט דרך גרעין התא,מתווך כיווניות כניסה לגרעין אך לא יציאה מהגרעין,Ran-GTP בגרעין התא ו- Ran-GDP בציטוזול מספקים כיווניות לטרנספורט דרך גרעין התא,הידרוליזת GTP על ידי Ran בגרעין התא מספקת כיווניות לטרנספורט דרך גרעין התא,,,3,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה יקרה לחלבון מוטנטי בו הוחלפה ח.אמינו אחת ברצף ה-NLS לח.אמינו הידרופובית?,"לא ניתן לדעת, זה תלוי ברצף ה-NLS",החלבון יצליח להיכנס לגרעין מאחר ולהחלפה של ח. אמינו אחת ברצף אין השפעה,החלבון יימצא בציטופלזמה,יימצא גם בגרעין וגם בציטופלזמה,,,3,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,סמנו את המשפט שאינו נכון:,רצף ה-(nuclear localization signal (NLS יכול להימצא לכל אורך החלבון,כניסת האקספורטין לגרעין התא מתווכת על ידי אימפורטין,ריכוז סידן נמוך גורם לפוספורילציה של NF-AT בגרעין התא,בריכוז סידן גבוה NF-AT נכנס לגרעין התא,,,2,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,סמנו את המשפט שאינו נכון:,בחיידקים ה-DNA הוא מעגלי,גם לגרעין וגם ולמיטוכונדריה יש שתי ממברנות דו שכבתיות,הלמינין הוא מרכיב של ה-nuclear lamina,הלמין ב-nuclear lamina נקשר לכרומטין,,,3,גרעין התא וטרנספורט אל ומהגרעין,FALSE,,טל,בוחן 2
בחנים ותרגולים מהמודל,מה נכון להגיד לגבי השלבים הראשונים של מעבר חלבונים למיטוכונדריה?,החלבונים מלווים בצ'פרונים השומרים עליהם פרוסים (unfolded),החלבונים מלווים בצ'פרונים השומרים עליהם מקופלים בצורתם הנטיבית,חלבונים עברים את ממברנת המיטוכונדריה במהלך תהליך התרגום,חלבונים לא יכולים לחצות את הממברנות ולכן מתורגמים במיטוכונדריה,,,1,מיטוכונדריה,FALSE,,נדב ק,בוחן 3
בחנים ותרגולים מהמודל,באיזה מהשלבים הבאים של מעבר חלבון למיטוכונדריה נדרשת השקעת אנרגיה? יש לבחור תשובה אחת או יותר:,קישור של ה-signal sequence לקומפלקס TOM,מעבר החלבון דרך קומפלקס TIM בעזרת צ'פרוני hsp70 מיטוכונדריאליים,שחרור צ'פרוני hsp70 ציטוזוליים מהחלבון,מעבר ה-signal sequence למטריקס המיטוכונדריה דרך קומפלקס TIM,א + ג + ד,ב + ג + ד,6,מיטוכונדריה,TRUE,,נדב ק,בוחן 3
בחנים ותרגולים מהמודל,מהו Porin?,מולקולה הקשורה קוולטית להמוגלובין,קו-פקטור בשרשרת העברת האלקטרונים המיטוכונדריילית,תעלה חלבונית בממברנה החיצונית של המיטוכונדריה,תעלה חלבונית בגרעין התא,,,3,מיטוכונדריה,FALSE,,נדב ק,בוחן 3
בחנים ותרגולים מהמודל,על פי התאורייה האנדוסמביוטית המיטוכנדריה הינה תא פרוקריוטי קדום שעבר סמביוזה עם תא אאוקריוטי. מהם המאפיינים של המיטוכונדריה התומכים בתאוריה הזו ? יש לבחור תשובה אחת או יותר:,"המיטוכונדריה מכילה דנ""א משל עצמה מחוץ לגרעין",המיטוכונדריה מכילה ריבוזומים שונים מהריבוזומים הנמצאים בציטוזול,"למיטוכונדריה יכולת לשעתק את הגנים המקודדים בדנ""א שלה",המיטוכונדרייה מכילה גרעין של עצמה,א + ב + ג,א + ג + ד,5,מיטוכונדריה,TRUE,,נדב ק,בוחן 3
בחנים ותרגולים מהמודל,סמן את המשפט הנכון:,"בהולכת סיגנאלים, Hydrogen peroxide יכול לחמצן שייר ציסטאין ולעצור את הפעילות של הפוספטאז.","באמצעות בופר גלוטטיון (glutathione) התא יכול לחזר את שיירי הציסטאין, ולהחזיר את הפוספטאז המחומצן למצב פעיל.",מוטציה באנזים SOD יכולה לגרום לעודף במולקולות superoxide anion.,"מולקולות Hydrogen peroxide, יכולות לחמצן פוספוליפיד במיטוכונדריה, ולשחרור ציטוכרום C מעיגון על הממברנה.",כל התשובות נכונות.,,4,מיטוכונדריה,FALSE,,נדב ק,בוחן 3
בחנים ותרגולים מהמודל,סמן את המשפט שאינו נכון:,ברצף הדנ״א המיטוכונדריאלי יש חלקים גדולים שאינם מקודדים לחלבון או RNA בעל תפקיד כלשהו.,רצף ה-signal sequence נחתך לאחר כניסה של החלבון למיטוכונדריה.,חלבונים מיועדים למטוכונדריה על ידי רצף אמפיפילי.,צ׳אפרונים במיטוכונדריה גורמים לכניסה כיוונית של חלבון שתורגם בציטוזול לתוך המיטוכונדריה.,,,1,מיטוכונדריה,FALSE,,נדב ק,בוחן 3
בחנים ותרגולים מהמודל,סמן את המשפט שאינו נכון:,חלבונים ממברנליים וחלבונים מסיסים מיובאים אל תוך המיטוכיונדריה,"לגברים יש פחות מיטוכונדריה מאשר בנשים, ולכן המיטוכונדריה נקבעת על ידי האם","רדיקלים חופשיים נוצרים בעקבות ""דליפה"" בשרשרת מעבר האלקטרונים","מיטוכונדריה מכילות רנ""א פולימראז המסוגל לשעתק גנים",,,2,מיטוכונדריה,FALSE,,נדב ק,בוחן 3
בחנים ותרגולים מהמודל,סמן את המשפט הנכון:,"לכל מיטוכונדריה עותק יחיד של דנ""א מיטוכונדריאלי, דבר המגביל את קצב החלוקה שלהן",חלוקה של מיטוכונדריה דורשת הידרוליזה של ATP על ידי חלבונים ממשפחת הדינמין,חלוקת מיטוכונדריה נעשית רק בשלב הS של מחזור התא,עותקים רבים של חלבון ממשפחת הדינמין יוצרים מבנה טבעתי שחונק את המיטוכונדריה עד לחלוקה לשני אברונים,,,4,מיטוכונדריה,FALSE,,נדב ק,בוחן 3
